Match Number,Round Number,Date,Location,Home Team,Away Team,Result
163,19,15/01/2022 14:30,RheinEnergieStadion,1. FC Köln,FC Bayern,0 - 4
166,19,15/01/2022 14:30,Opel Arena,Mainz 05,VfL Bochum,1 - 0
167,19,15/01/2022 14:30,Mercedes-Benz Arena,VfB Stuttgart,RB Leipzig,0 - 2
169,19,15/01/2022 14:30,Stadion An der Alten Försterei,Union Berlin,Hoffenheim,2 - 1
170,19,15/01/2022 14:30,Volkswagen Arena,VfL Wolfsburg,Hertha BSC,0 - 0
168,19,15/01/2022 17:30,Borussia-Park,Borussia Mönchengladbach,Bayer 04 Leverkusen,1 - 2
165,19,16/01/2022 14:30,WWK Arena,FC Augsburg,Eintracht Frankfurt,1 - 1
164,19,16/01/2022 16:30,Schüco-Arena,Arminia Bielefeld,SpVgg Greuther Fürth,2 - 2
179,20,21/01/2022 19:30,Deutsche Bank Park,Eintracht Frankfurt,Arminia Bielefeld,0 - 2
172,20,22/01/2022 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Mainz 05,2 - 1
175,20,22/01/2022 14:30,PreZero Arena,Hoffenheim,Borussia Dortmund,2 - 3
176,20,22/01/2022 14:30,SC-Stadion,SC Freiburg,VfB Stuttgart,2 - 0
177,20,22/01/2022 14:30,Borussia-Park,Borussia Mönchengladbach,Union Berlin,1 - 2
178,20,22/01/2022 14:30,BayArena,Bayer 04 Leverkusen,FC Augsburg,5 - 1
173,20,22/01/2022 17:30,Vonovia Ruhrstadion,VfL Bochum,1. FC Köln,2 - 2
180,20,23/01/2022 14:30,Red Bull Arena,RB Leipzig,VfL Wolfsburg,2 - 0
174,20,23/01/2022 16:30,Olympiastadion,Hertha BSC,FC Bayern,1 - 4
183,21,04/02/2022 19:30,Olympiastadion,Hertha BSC,VfL Bochum,1 - 1
181,21,05/02/2022 14:30,RheinEnergieStadion,1. FC Köln,SC Freiburg,1 - 0
182,21,05/02/2022 14:30,Schüco-Arena,Arminia Bielefeld,Borussia Mönchengladbach,1 - 1
184,21,05/02/2022 14:30,WWK Arena,FC Augsburg,Union Berlin,2 - 0
185,21,05/02/2022 14:30,Opel Arena,Mainz 05,Hoffenheim,2 - 0
186,21,05/02/2022 14:30,Mercedes-Benz Arena,VfB Stuttgart,Eintracht Frankfurt,2 - 3
189,21,05/02/2022 17:30,Allianz Arena,FC Bayern,RB Leipzig,3 - 2
188,21,06/02/2022 14:30,Signal Iduna Park,Borussia Dortmund,Bayer 04 Leverkusen,2 - 5
187,21,06/02/2022 16:30,Volkswagen Arena,VfL Wolfsburg,SpVgg Greuther Fürth,4 - 1
198,22,11/02/2022 19:30,Red Bull Arena,RB Leipzig,1. FC Köln,3 - 1
190,22,12/02/2022 14:30,Sportpark Ronhof Thomas Sommer,SpVgg Greuther Fürth,Hertha BSC,2 - 1
191,22,12/02/2022 14:30,Vonovia Ruhrstadion,VfL Bochum,FC Bayern,4 - 2
193,22,12/02/2022 14:30,SC-Stadion,SC Freiburg,Mainz 05,1 - 1
194,22,12/02/2022 14:30,Borussia-Park,Borussia Mönchengladbach,FC Augsburg,3 - 2
197,22,12/02/2022 14:30,Deutsche Bank Park,Eintracht Frankfurt,VfL Wolfsburg,0 - 2
196,22,12/02/2022 17:30,BayArena,Bayer 04 Leverkusen,VfB Stuttgart,4 - 2
195,22,13/02/2022 14:30,Stadion An der Alten Försterei,Union Berlin,Borussia Dortmund,0 - 3
192,22,13/02/2022 16:30,PreZero Arena,Hoffenheim,Arminia Bielefeld,2 - 0
203,23,18/02/2022 19:30,Opel Arena,Mainz 05,Bayer 04 Leverkusen,3 - 2
200,23,19/02/2022 14:30,Schüco-Arena,Arminia Bielefeld,Union Berlin,1 - 0
202,23,19/02/2022 14:30,WWK Arena,FC Augsburg,SC Freiburg,1 - 2
204,23,19/02/2022 14:30,Mercedes-Benz Arena,VfB Stuttgart,VfL Bochum,1 - 1
205,23,19/02/2022 14:30,Volkswagen Arena,VfL Wolfsburg,Hoffenheim,1 - 2
199,23,19/02/2022 17:30,RheinEnergieStadion,1. FC Köln,Eintracht Frankfurt,1 - 0
207,23,20/02/2022 14:30,Allianz Arena,FC Bayern,SpVgg Greuther Fürth,4 - 1
