Match Number,Round Number,Date,Location,Home Team,Away Team,Result
41,5,12/09/2021 15:00,Matmut Atlantique,Girondins de Bordeaux,RC Lens,2 - 3
42,5,12/09/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,Angers SCO,1 - 1
45,5,12/09/2021 15:00,Stade Saint-Symphorien,FC Metz,ESTAC Troyes,0 - 2
50,5,12/09/2021 15:00,Roazhon Park,Stade Rennais FC,Stade de Reims,0 - 2
48,5,12/09/2021 17:00,Stade de la Beaujoire,FC Nantes,OGC Nice,0 - 2
44,5,12/09/2021 20:45,Groupama Stadium,Olympique Lyonnais,RC Strasbourg Alsace,3 - 1
59,6,17/09/2021 21:00,Stade de la Meinau,RC Strasbourg Alsace,FC Metz,3 - 0
53,6,18/09/2021 17:00,Stade Bollaert-Delelis,RC Lens,LOSC Lille,1 - 0
58,6,18/09/2021 21:00,Stade Geoffroy-Guichard,AS Saint-Étienne,Girondins de Bordeaux,1 - 2
55,6,19/09/2021 13:00,Allianz Riviera,OGC Nice,AS Monaco,2 - 2
51,6,19/09/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Nantes,1 - 4
52,6,19/09/2021 15:00,Stade Gabriel Montpied,Clermont Foot 63,Stade Brestois 29,1 - 1
57,6,19/09/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Lorient,0 - 0
60,6,19/09/2021 15:00,Stade de l'Aube,ESTAC Troyes,Montpellier Hérault SC,1 - 1
54,6,19/09/2021 17:00,Orange Vélodrome,Olympique de Marseille,Stade Rennais FC,2 - 0
56,6,19/09/2021 20:45,Parc des Princes,Paris Saint-Germain,Olympique Lyonnais,2 - 1
63,7,22/09/2021 19:00,Stade Pierre-Mauroy,LOSC Lille,Stade de Reims,2 - 1
67,7,22/09/2021 19:00,Stade Louis II,AS Monaco,AS Saint-Étienne,3 - 1
68,7,22/09/2021 19:00,Stade de la Mosson,Montpellier Hérault SC,Girondins de Bordeaux,3 - 3
69,7,22/09/2021 19:00,Stade de la Beaujoire,FC Nantes,Stade Brestois 29,3 - 1
70,7,22/09/2021 19:00,Roazhon Park,Stade Rennais FC,Clermont Foot 63,6 - 0
61,7,22/09/2021 21:00,Stade Raymond Kopa,Angers SCO,Olympique de Marseille,0 - 0
62,7,22/09/2021 21:00,Stade Bollaert-Delelis,RC Lens,RC Strasbourg Alsace,0 - 1
64,7,22/09/2021 21:00,Stade du Moustoir,FC Lorient,OGC Nice,1 - 0
65,7,22/09/2021 21:00,Groupama Stadium,Olympique Lyonnais,ESTAC Troyes,3 - 1
66,7,22/09/2021 21:00,Stade Saint-Symphorien,FC Metz,Paris Saint-Germain,1 - 2
78,8,25/09/2021 17:00,Stade Geoffroy-Guichard,AS Saint-Étienne,OGC Nice,0 - 3
79,8,25/09/2021 19:00,Stade de la Meinau,RC Strasbourg Alsace,LOSC Lille,1 - 2
74,8,25/09/2021 21:00,Groupama Stadium,Olympique Lyonnais,FC Lorient,1 - 1
76,8,25/09/2021 21:00,Parc des Princes,Paris Saint-Germain,Montpellier Hérault SC,2 - 0
71,8,26/09/2021 13:00,Matmut Atlantique,Girondins de Bordeaux,Stade Rennais FC,1 - 1
72,8,26/09/2021 15:00,Stade Francis-Le Blé,Stade Brestois 29,FC Metz,1 - 2
77,8,26/09/2021 15:00,Stade Auguste Delaune,Stade de Reims,FC Nantes,3 - 1
80,8,26/09/2021 15:00,Stade de l'Aube,ESTAC Troyes,Angers SCO,1 - 1
73,8,26/09/2021 17:00,Stade Gabriel Montpied,Clermont Foot 63,AS Monaco,1 - 3
75,8,26/09/2021 20:45,Orange Vélodrome,Olympique de Marseille,RC Lens,2 - 3
82,9,01/10/2021 21:00,Stade Bollaert-Delelis,RC Lens,Stade de Reims,2 - 0
86,9,02/10/2021 17:00,Stade de la Mosson,Montpellier Hérault SC,RC Strasbourg Alsace,1 - 1
88,9,02/10/2021 21:00,Allianz Riviera,OGC Nice,Stade Brestois 29,2 - 1
89,9,03/10/2021 13:00,Roazhon Park,Stade Rennais FC,Paris Saint-Germain,2 - 0
81,9,03/10/2021 15:00,Stade Raymond Kopa,Angers SCO,FC Metz,3 - 2
84,9,03/10/2021 15:00,Stade du Moustoir,FC Lorient,Clermont Foot 63,1 - 1
85,9,03/10/2021 15:00,Stade Louis II,AS Monaco,Girondins de Bordeaux,3 - 0
87,9,03/10/2021 15:00,Stade de la Beaujoire,FC Nantes,ESTAC Troyes,2 - 0
83,9,03/10/2021 17:00,Stade Pierre-Mauroy,LOSC Lille,Olympique de Marseille,2 - 0
90,9,03/10/2021 20:45,Stade Geoffroy-Guichard,AS Saint-Étienne,Olympique Lyonnais,1 - 1
